track_id,album_title,track_bit_rate,track_duration,track_explicit,genre,track_interest,track_listens,track_number,track_title,track_url
139007,Chapter Three / Warm,320000,03:39,Radio-Safe,5,35454,28565,5,July,http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_05_July
37340,Red Danube,320000,03:55,Radio-Safe,5,39277,34905,1,Red Danube,http://freemusicarchive.org/music/Lee_Rosevere/Red_Danube/LeeRosevere_RedDanube
57156,Bonus Beat Blast 2011,175338,01:58,Radio-Safe,15,25778,16910,6,Kosmiche Slop,http://freemusicarchive.org/music/Anenon/Bonus_Beat_Blast_2011/06_anenon-kosmiche_slop
145529,Better Way,320000,01:57,Radio-Safe,5,27670,21281,8,Oecumene Sleeps,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_08_Oecumene_Sleeps
5155,Live at WFMU on Talk's Cheap 1/20/2009,256000,04:20,Radio-Safe,15,6061,25259,1,Lysine,http://freemusicarchive.org/music/Max_Tundra/Live_at_WFMU_on_Talks_Cheap_1202009/Lysine
127324,Through The Lens,320000,02:00,Radio-Safe,17,73637,59761,4,Bumbler,http://freemusicarchive.org/music/Andy_G_Cohen/Through_The_Lens/Andy_G_Cohen_-_Bumbler
139011,Chapter Three / Warm,320000,02:13,Radio-Safe,5,32094,26316,9,Walking Barefoot on Grass (Bonus),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_09_Walking_Barefoot_on_Grass_Bonus
18164,See Mystery Lights (Instrumentals),192000,05:00,Radio-Safe,15,42018,21901,2,The Afterlife (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/The_Afterlife_Instrumental
136334,ICD-10,320000,05:00,Radio-Safe,5,49178,41083,6,Oneiri,http://freemusicarchive.org/music/Kai_Engel/ICD-10/Kai_Engel_-_ICD-10_-_06_Oneiri
3772,Live at WFMU on Talk's Cheap 8/11/2008,256000,03:42,Radio-Safe,10,48234,15587,6,Nicotine Blues,http://freemusicarchive.org/music/Kurt_Vile/Live_at_WFMU_on_Talks_Cheap_8112008/Nicotine_Blues
128001,Forgotten Stars,320000,02:10,Radio-Safe,5,27210,20526,6,Sirius,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_06_Sirius
133756,Chapter Two / Mild,320000,02:25,Radio-Safe,5,36336,30030,2,March,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_02_March
145522,Better Way,320000,02:11,Radio-Safe,5,20750,16153,1,Take a Look Around You,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_01_Take_a_Look_Around_You
57155,Bonus Beat Blast 2011,205567,01:10,Radio-Safe,15,28952,19969,7,Scattered Wave,http://freemusicarchive.org/music/Asura/Bonus_Beat_Blast_2011/07_asura-scattered_wave
145526,Better Way,320000,02:14,Radio-Safe,5,24518,17837,5,Hopes and Dreams,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_05_Hopes_and_Dreams
18167,See Mystery Lights (Instrumentals),192000,05:04,Radio-Safe,15,38632,11015,5,Psychic City (Voodoo City) (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/Psychic_City_Voodoo_City_Instrumental
57131,Bonus Beat Blast 2011,163508,01:32,Radio-Safe,15,19872,9513,31,Dollar Theatre,http://freemusicarchive.org/music/Jalen_Warshawsky/Bonus_Beat_Blast_2011/31_jalen_warshawsky-dollar_theatre
127998,Forgotten Stars,320000,02:44,Radio-Safe,5,20100,13411,3,Mother`s Hands,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_03_Mothers_Hands
127999,Forgotten Stars,320000,04:04,Radio-Safe,5,23492,16910,4,Forgotten Stars,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_04_Forgotten_Stars
10694,2005 Stayin Alive InstruMentals,192000,03:34,Radio-Safe,21,24102,15064,0,aint no thing,http://freemusicarchive.org/music/BOPD/2005_Stayin_Alive_InstruMentals/aint_no_thing
16301,The Sun of Our Life,64000,01:57,Radio-Safe,3,18924,10856,1,Improvisation: Fast Blues in A,http://freemusicarchive.org/music/Reverend_Gary_Davis/The_Sun_of_Our_Lives/revgarydavismp3
57092,Bonus Beat Blast 2011,212369,02:00,Radio-Safe,15,24484,14308,2,Rio,http://freemusicarchive.org/music/1000_Names_1770/Bonus_Beat_Blast_2011/02_1000_names-rio
18168,See Mystery Lights (Instrumentals),192000,03:33,Radio-Safe,15,25670,12523,6,Summer Song (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/Summer_Song_Instrumental
133758,Chapter Two / Mild,320000,02:54,Radio-Safe,5,37859,29815,4,River,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_04_River
145528,Better Way,320000,01:38,Radio-Safe,5,21365,16288,7,Ode to the World,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_07_Ode_to_the_World
148658,MUL / DIV,320000,02:51,Radio-Safe,12,13248,9874,7,Bathed in Fine Dust,http://freemusicarchive.org/music/Andy_G_Cohen/MUL__DIV_1198/Andy_G_Cohen_-_MULDIV_-_07_-_Bathed_in_Fine_Dust
106568,Classics By Request,128000,02:02,Radio-Safe,12,12261,9520,7,2PM Wake UP Call,http://freemusicarchive.org/music/Apache_Tomcat/Classics_By_Request/07_Apache_Tomcat_-_2PM_Wake_Up_Call
139004,Chapter Three / Warm,320000,02:18,Radio-Safe,5,20867,16328,2,June,http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_02_June
145530,Better Way,320000,02:42,Radio-Safe,5,20183,16251,9,Crying Earth,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_09_Crying_Earth
10693,2005 Stayin Alive InstruMentals,192000,02:56,Radio-Safe,21,24636,16503,0,6.6.05,http://freemusicarchive.org/music/BOPD/2005_Stayin_Alive_InstruMentals/6605
18171,See Mystery Lights (Instrumentals),192000,07:19,Radio-Safe,15,24339,15174,9,I'm In Love With A Ripper (Party Mix) (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/Im_In_Love_With_A_Ripper_Party_Mix_Instrumental
57143,Bonus Beat Blast 2011,201632,00:38,Radio-Safe,15,39413,27895,19,Bust That Rap Like Nobody's Listenin' (Dare 2 B Great remix),http://freemusicarchive.org/music/Eric_Steuer/Bonus_Beat_Blast_2011/19_eric_steuer-btrlnld2bgr
106566,Classics By Request,128000,02:22,Radio-Safe,12,14002,10864,5,Mouse Trap,http://freemusicarchive.org/music/Apache_Tomcat/Classics_By_Request/05_Apache_Tomcat_-_Mouse_Trap
129087,Through The Lens,320000,03:14,Radio-Safe,17,25970,19467,10,Worky Worky,http://freemusicarchive.org/music/Andy_G_Cohen/Through_The_Lens/Andy_G_Cohen_-_Worky_Worky
18163,See Mystery Lights (Instrumentals),192000,04:14,Radio-Safe,15,26723,17402,1,Ring The Bell (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/Ring_The_Bell_Instrumental
57152,Bonus Beat Blast 2011,202429,01:22,Radio-Safe,15,33530,20047,10,CRUZIN,http://freemusicarchive.org/music/Benedek/Bonus_Beat_Blast_2011/10_benedek-cruzin
107544,What's Later?,128000,06:01,Radio-Safe,12,29330,24581,5,Something Deep,http://freemusicarchive.org/music/Apache_Tomcat/Whats_Later/05_Something_Deep
57140,Bonus Beat Blast 2011,182361,01:30,Radio-Safe,15,20504,10980,22,Proton Beat,http://freemusicarchive.org/music/Gangi/Bonus_Beat_Blast_2011/22_gangi-proton_beat
146905,The Warbird EP,320000,02:00,Radio-Safe,5,19261,15932,5,The Warbird,http://freemusicarchive.org/music/Tri-Tachyon/The_Warbird_EP/The_Warbird
57154,Bonus Beat Blast 2011,202831,01:42,Radio-Safe,15,26203,16618,8,So Succulent,http://freemusicarchive.org/music/Asura/Bonus_Beat_Blast_2011/08_asura-so_succulent
108365,What's Later?,128000,01:35,Radio-Safe,12,37557,34150,15,Tropicana Dreams,http://freemusicarchive.org/music/Apache_Tomcat/Whats_Later/15_Tropicana_Dreams
128000,Forgotten Stars,320000,02:58,Radio-Safe,5,23920,19079,5,Birds Walk Away,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_05_Birds_Walk_Away
139005,Chapter Three / Warm,320000,02:00,Radio-Safe,5,26093,23260,3,Sunray (PON IV),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_03_Sunray_PON_IV
139009,Chapter Three / Warm,320000,01:44,Radio-Safe,5,19760,16488,7,August (Summer Nights),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_07_August_Summer_Nights
145527,Better Way,320000,01:48,Radio-Safe,5,19032,14971,6,Changing Reality,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_06_Changing_Reality
57088,Bonus Beat Blast 2011,195540,01:59,Radio-Safe,15,15543,7595,73,The Boys,http://freemusicarchive.org/music/Yuichiro_Fujimoto/Bonus_Beat_Blast_2011/73_yuichiro_fujimoto-the_boys
57094,Bonus Beat Blast 2011,188382,02:00,Radio-Safe,15,18596,7436,69,Honeys Pie,http://freemusicarchive.org/music/Wake/Bonus_Beat_Blast_2011/69_wake-honeys_pie
6400,Live at WFMU on Marty McSorley's show on 10/24/2008,256000,08:19,Radio-Safe,10,18048,13254,2,Beach Point Pleasant,http://freemusicarchive.org/music/Ducktails/Live_at_WFMU_on_Marty_McSorleys_show_on_10242008/Beach_Point_Pleasant
57129,Bonus Beat Blast 2011,320000,01:49,Radio-Safe,15,17894,8330,33,Bird,http://freemusicarchive.org/music/James_Pants/Bonus_Beat_Blast_2011/33_james_pants-bird
114068,Haunted House of the Rising Sun,256000,05:09,Radio-Safe,3,31252,27043,0,Haunted House of the Rising Sun,http://freemusicarchive.org/music/Kathleen_Martin/Haunted_House_of_the_Rising_Sun/Haunted_House_of_the_Rising_Sun
139010,Chapter Three / Warm,320000,02:18,Radio-Safe,5,17092,14277,8,Far From Home (PON VII),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_08_Far_From_Home_PON_VII
145523,Better Way,320000,02:30,Radio-Safe,5,18831,15328,2,Better Way,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_02_Better_Way
145525,Better Way,320000,02:47,Radio-Safe,5,16276,13595,4,Difference,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_04_Difference
57126,Bonus Beat Blast 2011,160000,02:32,Radio-Safe,15,14197,6056,37,Heavenly (START),http://freemusicarchive.org/music/James_Pants/Bonus_Beat_Blast_2011/37_james_pants-heavenly_start
57147,Bonus Beat Blast 2011,205599,00:16,Radio-Safe,15,42824,30436,15,Make It Drums,http://freemusicarchive.org/music/Daedelus/Bonus_Beat_Blast_2011/15_daedelus-make_it_drums
128002,Forgotten Stars,320000,02:21,Radio-Safe,5,20433,15911,7,The Loneliness,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_07_The_Loneliness
133762,Chapter Two / Mild,320000,02:49,Radio-Safe,5,31075,26161,8,The Blossom (PON III),http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_08_The_Blossom_PON_III
57099,Bonus Beat Blast 2011,214447,02:36,Radio-Safe,15,14214,5494,64,Uh Hmmm...,http://freemusicarchive.org/music/Sahy_Uhns/Bonus_Beat_Blast_2011/64_sahy_uhns-uh_hmmm
1087,Kontpab,256000,05:15,Radio-Safe,12,10309,11275,4,Tell The Police The Truth,http://freemusicarchive.org/music/Mahjongg/Kontpab/Tell_The_Police_The_Truth
18169,See Mystery Lights (Instrumentals),192000,04:22,Radio-Safe,15,28479,20793,7,We Have All We've Ever Wanted (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/We_Have_All_Weve_Ever_Wanted_Instrumental
18840,She Hate Me,192000,01:59,Radio-Safe,21,9902,6912,7,Goodwill,http://freemusicarchive.org/music/The_Custodian_of_Records/She_Hate_Me/Goodwill
3771,Live at WFMU on Talk's Cheap 8/11/2008,256000,02:43,Radio-Safe,10,6471,5998,5,Classic Rock In Spring,http://freemusicarchive.org/music/Kurt_Vile/Live_at_WFMU_on_Talks_Cheap_8112008/Classic_Rock_In_Spring
10699,2005 Stayin Alive InstruMentals,192000,01:54,Radio-Safe,21,27615,19748,0,2.2.05,http://freemusicarchive.org/music/BOPD/2005_Stayin_Alive_InstruMentals/2205
108359,What's Later?,128000,03:45,Radio-Safe,12,17461,15383,9,La Hacienda,http://freemusicarchive.org/music/Apache_Tomcat/Whats_Later/09_La_Hacienda
133755,Chapter Two / Mild,320000,04:42,Radio-Safe,5,26897,22427,1,Floret,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_01_Floret
133761,Chapter Two / Mild,320000,02:12,Radio-Safe,5,26439,22737,7,May,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_07_May
10698,2005 Stayin Alive InstruMentals,192000,02:52,Radio-Safe,21,20469,13046,0,2.12.05 elevator,http://freemusicarchive.org/music/BOPD/2005_Stayin_Alive_InstruMentals/21205_elevator
139008,Chapter Three / Warm,320000,02:22,Radio-Safe,5,18687,15631,6,Rainbow (PON VI),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_06_Rainbow_PON_VI
18170,See Mystery Lights (Instrumentals),192000,03:00,Radio-Safe,15,32601,23436,8,Don't Fight The Darkness (Instrumental),http://freemusicarchive.org/music/YACHT/See_Mystery_Lights_Instrumentals/Dont_Fight_The_Darkness_Instrumental
18842,She Hate Me,192000,01:07,Radio-Safe,21,11612,8308,9,Your Blogs in my business,http://freemusicarchive.org/music/The_Custodian_of_Records/She_Hate_Me/Your_Blogs_in_my_business
57144,Bonus Beat Blast 2011,198991,02:00,Radio-Safe,15,26714,17911,18,Waterbeat,http://freemusicarchive.org/music/DJ_Lengua/Bonus_Beat_Blast_2011/18_dj_lengua-waterbeat
18848,She Hate Me,192000,02:30,Radio-Safe,21,13875,9929,15,Lucky Stars,http://freemusicarchive.org/music/The_Custodian_of_Records/She_Hate_Me/Lucky_Stars
57116,Bonus Beat Blast 2011,164498,01:08,Radio-Safe,15,12964,5594,47,Laundromatted,http://freemusicarchive.org/music/Lawrence_Grey/Bonus_Beat_Blast_2011/47_lawrence_grey-laundromatted
57124,Bonus Beat Blast 2011,192000,01:13,Radio-Safe,15,14091,5750,39,Menehune Dance,http://freemusicarchive.org/music/James_Pants/Bonus_Beat_Blast_2011/39_james_pants-menehune_dance
57159,Bonus Beat Blast 2011,187338,02:02,Radio-Safe,15,32550,24959,3,Exotic1,http://freemusicarchive.org/music/Andrew_Pekler/Bonus_Beat_Blast_2011/03_andrew_pekler-exotic1
5025,Edison Amberol: 30032,128000,03:51,Radio-Safe,8,12442,6926,0,Pescatori di Perle. Mi par dudir ancora [Pêcheurs de perles. Je crois entendre encore,http://freemusicarchive.org/music/Aristodemo_Giorgini/Edison_Amberol_30032/Pescatori_di_PerleMi_par_dudir_ancoraPcheurs_de_perlesJe_crois_entendre_encore
8449,Dengue Fever - Live @ KEXP 10/21/08,,06:42,Radio-Safe,2,5174,4941,0,One Thousand Tears Of A Tarantula (Live @ KEXP),http://freemusicarchive.org/music/Dengue_Fever/Dengue_Fever_-_Live__KEXP_102108/One_Thousand_Tears_Of_A_Tarantula_Live__KEXP
20050,Thank You,320000,03:49,Radio-Safe,12,3799,2419,1,Let's Go Down,http://freemusicarchive.org/music/Family_Of_The_Year/Thank_You/Lets_Go_Down_1776
45529,MFYP EP (CS release),320000,02:58,Radio-Safe,21,55524,28915,0,Tour Peru,http://freemusicarchive.org/music/Music_For_Your_Plants/ST_EP_Cassette_rel/09_Tour_Peru
144456,Enter the Tesla Machine - [Single],320000,02:02,Radio-Safe,15,12564,10652,0,Enter the Tesla Machine,http://freemusicarchive.org/music/Tri-Tachyon/Enter_the_Tesla_Machine_-_Single/Enter_the_Tesla_Machine
73031,"Concertina Music, 2005-2010",192000,02:32,Radio-Safe,5,46157,40637,2,Life on the Odyssean Wave,http://freemusicarchive.org/music/Steven_Arntson/Solo_Concertina_Music_2005-2010/Life_on_the_Odyssean_Wave
73050,"Concertina Music, 2005-2010",192000,04:14,Radio-Safe,5,29366,25494,5,Bow to Your Neighbor (Excerpt),http://freemusicarchive.org/music/Steven_Arntson/Solo_Concertina_Music_2005-2010/Movement_Three_Excerpt
99568,Two Travelers,320000,02:47,Radio-Safe,10,7301,5323,4,Don't Worry,http://freemusicarchive.org/music/Eric__Magill/Two_Travelers/Eric__Magill_-_Two_Travelers_-_04_Dont_Worry
3763,Live at WFMU on Brian Turner's Show on 4/22/2003,256000,03:00,Radio-Safe,12,28410,11532,3,Shelley Winters Overdrive,http://freemusicarchive.org/music/Kinski/Live_at_WFMU_on_Brian_Turners_Show_on_4222003/Shelley_Winters_Overdrive
18599,Sophie Tucker - Singles,64000,02:42,Radio-Safe,8,6635,5348,0,Red Hot Mama,http://freemusicarchive.org/music/Sophie_Tucker/Sophie_Tucker_-_Singles_1582/Red_Hot_Mama
57100,Bonus Beat Blast 2011,200519,00:50,Radio-Safe,15,15425,6303,63,Lazy Sumday,http://freemusicarchive.org/music/Sahy_Uhns/Bonus_Beat_Blast_2011/63_sahy_uhns-lazy_sumday
106571,Classics By Request,128000,04:54,Radio-Safe,12,19233,16890,10,Scubba Adventure,http://freemusicarchive.org/music/Apache_Tomcat/Classics_By_Request/10_Apache_Tomcat_-_Scubba_Adventure
139006,Chapter Three / Warm,320000,03:00,Radio-Safe,5,15179,12492,4,Shinedown (PON V),http://freemusicarchive.org/music/Kai_Engel/Chapter_Three__Warm/Kai_Engel_-_Chapter_Three_-_Warm_-_04_Shinedown_PON_V
8942,Phoning It In 03/23/05,128000,01:47,Radio-Safe,10,44822,42936,2,Jump Up,http://freemusicarchive.org/music/The_Diskettes/Phoning_It_In_032305/Jump_Up
16334,Dancers of Bali,160000,03:04,Radio-Safe,2,14735,9141,1,Kapi Radja (Ape King),http://freemusicarchive.org/music/Peliatan_Gamelan/Dancers_of_Bali/2007bali_kapi_radjamp3
18839,She Hate Me,192000,02:17,Radio-Safe,21,5932,3746,6,Thunderstorm,http://freemusicarchive.org/music/The_Custodian_of_Records/She_Hate_Me/Thunderstorm
20085,Antique Phonograph Music Program 12/17/2002,256000,02:47,Radio-Safe,8,10061,8713,0,Ukulele Bailey - Ukulele Baby,http://freemusicarchive.org/music/Ukulele_Bailey/Antique_Phonograph_Music_Program_12172002/Ukulele_Bailey_-_Ukulele_Baby
25397,"Forward Music at Bar Passeport, Montréal",,11:20,Radio-Safe,15,10714,5689,0,"Flying Bonus Beats, Version 1",http://freemusicarchive.org/music/minusbaby/minusbaby_-_Singles_1918/unsortedtracksTrack_-_2010021603806217
57093,Bonus Beat Blast 2011,192856,02:00,Radio-Safe,15,24979,14621,1,Beat of Today,http://freemusicarchive.org/music/1000_Names_1770/Bonus_Beat_Blast_2011/01_1000_names-beat_of_today
57095,Bonus Beat Blast 2011,211169,01:55,Radio-Safe,15,16504,8407,68,Glytch Funk,http://freemusicarchive.org/music/Wake/Bonus_Beat_Blast_2011/68_wake-glytch_funk
3770,Live at WFMU on Talk's Cheap 8/11/2008,256000,03:59,Radio-Safe,10,4996,3341,4,I Wanted Everything,http://freemusicarchive.org/music/Kurt_Vile/Live_at_WFMU_on_Talks_Cheap_8112008/I_Wanted_Everything
10962,Live at the Isabella Stewart Gardner Museum,128000,38:36,Radio-Safe,5,8273,5106,1,"Schubert: String Quartet No. 14 in D minor (“Death and the Maiden”), D. 810",http://freemusicarchive.org/music/Borromeo_String_Quartet/Live_at_the_Isabella_Stewart_Gardner_Museum/Schubert_String_Quartet_No_14_in_D_minor_Death_and_the_Maiden_D_810
57128,Bonus Beat Blast 2011,224000,02:35,Radio-Safe,15,15617,7501,35,Coconut Robot2,http://freemusicarchive.org/music/James_Pants/Bonus_Beat_Blast_2011/35_james_pants-coconut_robot_2
117131,Kat's paJAMas,192000,02:32,Radio-Safe,3,13226,9325,0,Kat's paJAMas,http://freemusicarchive.org/music/Kathleen_Martin/Kats_paJAMas/Kats_paJAMas
125299,Best Bytes Volume 3,256000,05:37,Radio-Safe,15,13495,9472,18,Organic (electric edit),http://freemusicarchive.org/music/Beat_Doctor/Best_Bytes_Volume_3/18_-_Beat_Doctor_-_Organic_electric_edit
8944,Phoning It In 03/23/05,128000,01:27,Radio-Safe,10,22509,23450,7,Ashcroft Deliver,http://freemusicarchive.org/music/The_Diskettes/Phoning_It_In_032305/Ashcroft_Deliver
8973,Phoning It In 04/20/05,128000,02:55,Radio-Safe,10,5259,9557,4,I Had A Dream,http://freemusicarchive.org/music/Daniel_Johnston/Phoning_It_In_042005/I_Had_A_Dream
11308,Universal Mind Decoder,256000,08:58,Radio-Safe,12,10045,5176,9,Dreaming of Light,http://freemusicarchive.org/music/Abunai/Universal_Mind_Decoder/Dreaming_of_Light
19673,Smokey's Secret Family live at Barbés on WFMU 9/19/2009,256000,04:03,Radio-Safe,2,4585,4062,7,Banaketwe,http://freemusicarchive.org/music/Smokey_Hormel/Smokeys_Secret_Family_live_at_Barbs_on_WFMU_9192009/Banaketwe
20084,Antique Phonograph Music Program 12/17/2002,256000,03:00,Radio-Safe,8,10264,5466,0,Johnny Nobles Hawaiians - Hawaiian Hula Melody,http://freemusicarchive.org/music/Johnny_Nobles_Hawaiians/Antique_Phonograph_Music_Program_12172002/Johnny_Nobles_Hawaiians_-_Hawaiian_Hula_Melody
57122,Bonus Beat Blast 2011,224000,02:57,Radio-Safe,15,15512,6656,41,"Tonight, By The Moonlight",http://freemusicarchive.org/music/James_Pants/Bonus_Beat_Blast_2011/41_james_pants-tonight_by_the_moonlight
67728,July,320000,05:26,Radio-Safe,10,14195,9183,1,Voodoo Machine,http://freemusicarchive.org/music/Lavoura/July/Lavoura_-_Voodoo_Machine
108358,What's Later?,128000,02:47,Radio-Safe,12,17668,15857,8,Tranny,http://freemusicarchive.org/music/Apache_Tomcat/Whats_Later/08_Tranny
127997,Forgotten Stars,320000,03:20,Radio-Safe,5,23797,18450,2,Back to Home,http://freemusicarchive.org/music/Sergey_Cheremisinov/Forgotten_Stars/Sergey_Cheremisinov_-_Forgotten_Stars_-_02_Back_to_Home
146904,The Warbird EP,320000,03:40,Radio-Safe,5,13327,10870,4,Gardarike,http://freemusicarchive.org/music/Tri-Tachyon/The_Warbird_EP/Gardarike
4376,Live at WFMU on Joe Belock's Show on 3/25/2008,256000,03:55,Radio-Safe,12,3285,9699,2,Detroit,http://freemusicarchive.org/music/The_Moaners/Live_at_WFMU_on_Joe_Belocks_Show_on_3252008/Detroit
10619,Phoning It In 06/15/05,128000,02:21,Radio-Safe,3,6794,6843,2,Keep Your Lamp Trimmed And Burning [traditional],http://freemusicarchive.org/music/Billy_Childish/Phoning_It_In_061505_1370/Keep_Your_Lamp_Trimmed_And_Burning_traditional
14649,"Lutoslawski, Variations on a Theme by Paganini",256000,04:58,Radio-Safe,5,5490,4968,1,Lutoslawski: Variations on a Theme by Paganini,http://freemusicarchive.org/music/Neal_and_Nancy_ODoan/Lutoslawski_Variations_on_a_Theme_by_Paganini/Lutoslawski_Variations_on_a_Theme_by_Paganini
